"FIPS","NH3","NOX","PM25","SO2","VOCA","A_NH3","A_NOX","A_PM25","A_SO2","A_VOCA","A_NH3_BEN","A_NOX_BEN","A_SO2_BEN","A_PM25_BEN","A_VOCA_BEN"
5073,41814,20635,85693,25873,3837,0,-17.909,-0.29424,-0.53145,-8.7338,0,-369552.215,-13750.20585,-25214.30832,-33511.5906
5075,43294,17674,76225,51292,3413,0,-38.886,-0.73376,-1.0585,-18.137,0,-687271.164,-54292.582,-55930.856,-61901.581
5077,49385,18763,85520,54768,3829.3,0,-16.718,-0.30468,-0.52333,-8.1408,0,-313679.834,-28661.73744,-26056.2336,-31173.56544
5079,45382,17279,79376,50234,3554.2,0,-19.342,-0.32729,-0.55313,-9.3749,0,-334210.418,-27785.93242,-25978.97104,-33320.26958
5081,33127,19528,71496,24366,3201.3,0,-26.08,-0.44046,-0.78715,-12.59,0,-509290.24,-19179.6969,-31491.12816,-40304.367
5083,42784,16710,75057,47916,3360.8,0,-29.757,-0.53808,-0.88635,-14.126,0,-497239.47,-42470.3466,-40386.67056,-47474.6608
5085,46327,17748,80983,51821,3626.1,0,-134.5,-2.6348,-3.5495,-61.586,0,-2387106,-183938.6395,-213374.0084,-223316.9946
5087,34636,17277,69049,52402,3091.8,0,-23.555,-0.46625,-0.62787,-10.629,0,-406959.735,-32901.64374,-32194.09625,-32862.7422
5089,45223,18460,85832,56190,3843.2,0,-24.43,-0.47024,-0.78455,-11.298,0,-450977.8,-44083.8645,-40361.63968,-43420.4736
5091,35722,20053,76180,25256,3411.1,0,-92.981,-1.6991,-2.614,-44.289,0,-1864547.993,-66019.184,-129437.438,-151074.2079
5093,59830,20403,101710,58755,4554.1,0,-119.03,-2.3347,-3.1334,-53.396,0,-2428569.09,-184102.917,-237462.337,-243170.7236
5095,35120,16834,64189,49812,2874.1,0,-48.04,-0.85315,-1.1958,-20.53,0,-808705.36,-59565.1896,-54762.84535,-59005.273
5097,33609,15379,61134,45327,2737.4,0,-16.433,-0.29414,-0.66937,-7.7567,0,-252723.107,-30340.53399,-17981.95476,-21233.19058
5099,34321,15098,62074,44773,2779.4,0,-40.37,-0.68597,-0.94652,-17.342,0,-609506.26,-42378.53996,-42580.90178,-48200.3548
5101,35368,17599,70521,53582,3157.6,0,-10.517,-0.21868,-0.41824,-4.9839,0,-185088.683,-22410.13568,-15421.53228,-15737.16264
5103,31813,14933,58358,44622,2613,0,-37.662,-0.67309,-1.1232,-18.862,0,-562406.646,-50119.4304,-39280.18622,-49286.406
5105,51954,17495,88856,50707,3978.6,0,-14.672,-0.26109,-0.45486,-7.0155,0,-256686.64,-23064.58602,-23199.41304,-27911.8683
5107,40554,17473,72384,51517,3241.1,0,-30.102,-0.5646,-0.99674,-15.04,0,-525972.246,-51349.05458,-40868.0064,-48746.144
5109,35069,15362,63155,45140,2827.8,0,-16.767,-0.29039,-0.48443,-8.013,0,-257574.654,-21867.1702,-18339.58045,-22659.1614
5111,59123,20415,100550,58132,4502.1,0,-53.948,-1.01,-1.5641,-25.676,0,-1101348.42,-90924.2612,-101555.5,-115595.9196
5113,29819,14618,55089,43209,2466.7,0,-29.635,-0.55349,-0.92859,-14.354,0,-433204.43,-40123.44531,-30491.21061,-35407.0118
